Zona 2;ESCUELA NACIONAL DE PATINAJE;gusdel2000@hotmail.com
Zona 2;ESCUELA DE PATIN ARTISTICO PAYSANDU;yanclinet@yahoo.com
Zona 2;ESCUELA PATIN ARTISTICO SALTO;epassalto@gmail.com
Zona 2;ESCUELA PATÍN ARTÍSTICO ARTIGAS;patinartigas2019@gmail.com
Zona 2;I.A. 18 DE JULIO;patin18dejulio.oficial@gmail.com
Zona 2;LET'S ROLL DOLORES;academialetsrolldolores@gmail.com
Zona 2;CLUB NACIONAL FRAY BENTOS;patinCNBB21@outlook.es
Zona 2;PATÍN ARTÍSTICO BELLA;anabelacelada6@gmail.com
Zona 2;PEÑAROL MERCEDES;patincapmercedes@gmail.com
Zona 2;PEÑAROL OMBÚES DE LAVALLE;patincapombues@hotmail.com
Zona 2;RAMPLA DE RISSO;patinramplarisso@gmail.com
Zona 2;RECREARTE PATIN;recreartepatin2015@hotmail.com
Zona 2;REMEROS DE MERCEDES;remerosmercedespatin@gmail.com
Zona 2;WANDERERS PALMITAS;patinwandererspalmitas@gmail.com
Zona 1-B;CIUDAD DEL PLATA ;patinciudaddelplata@hotmail.com 
Zona 1-B;CLUB BANCO HIPOTECARIO ;cbh1925@hotmail.com 
Zona 1-B;CLUB SOCIAL PROGRESO ;patinprogreso2021@gmail.com 
Zona 1-B;CLUB COETC ;patincoetc@hotmail.com 
Zona 1-B;DIAMANTE PATÍN CLUB ;diamantes.sobre.ruedas.37@gmail.com 
Zona 1-B;ESMERALDA ;esmeraldapatinclub2019@gmail.com 
Zona 1-B;FANTASÍA SOBRE RUEDAS ;sobreruedasfantasia@gmail.com 
Zona 1-B;FORTALEZA ;patinartisticofortaleza@gmail.com 
Zona 1-B;HANY ;hanylef.21@gmail.com 
Zona 1-B;ILUSIONES SOBRE RUEDAS ;tatii015lopez@gmail.com 
Zona 1-B;MERAKI PATÌN CLUB ;merakipatinartistico@gmail.com 
Zona 1-B;PADMA PATÍN CLUB ;lbertolazzi@icloud.com 
Zona 1-B;PARAISO SOBRE RUEDAS ;yaneidalorenzo@gmail.com 
Zona 1-B;PATÍN ARTÍSTICO SOGNI ;pasogni@gmail.com 
Zona 1-B;PATINARTE ;patinarteuruguay@gmail.com 
Zona 1-B;PATIN LAFONE ;patinlafone@hotmail.com 
Zona 1-B;PATÍN ARTÍSTICO VICTORIA ;patinvictoria2016@gmail.com 
Zona 1-B;PLATENSE PATIN CLUB ;silviaecozzi@gmail.com 
Zona 1-B;SIAMO FORTI ;centrosiamoforti@gmail.com 
Zona 1-B;SAN EUGENIO ;patinsaneugenio@hotmail.com 
Zona 1-B;CLUB ATLÉTICO PEÑAROL ;cap.patinyhockey@gmail.com 
Zona 1-B;ZAFIRO ;patinzafiro@gmail.com 
Zona 3;ALA DE ANGELES ;aladeangelespinamar@yahoo.com 
Zona 3;ATENEO DE PIRIÁPOLIS ;patinateneo@gmail.com 
Zona 3;CENTRO DEPORTIVO FB ;centrodeportivofb@gmail.com 
Zona 3;CLUB DEPORTIVO UNIÓN ROCHA ;moreira2015@hotmail.com 
Zona 3;CLUB PROGRESO TREINTA Y TRES ;centroprogreso33@gmail.com 
Zona 3;COUNTRY EL PINAR ;daninog2004@yahoo.com 
Zona 3;ESCUELA DE PATÍN ATLÁNTIDA ;patin.atlantida@hotmail.com 
Zona 3;ESCUELA DE PATIN TREINTA Y TRES ;escuelapatintyt@vera.com.uy 
Zona 3;IMPERIO SOBRE RUEDAS ;sobreruedasimperio@gmail.com 
Zona 3;PATÍN ARTÍSTICO DEL ESTE ;danilofernandez12@hotmail.com 
Zona 3;PATIN ARTISTICO TRISQUEL ;p.a.trisquel@gmail.com 
Zona 3;PATÍN ARTISTICO ACROBÁTICO ;carocauna@gmail.com 
Zona 3;PATÍN ARTÍSTICO EMPALME OLMOS ;sofiicedrani@gmail.com 
Zona 3;SKATE&FLY ;stefaorihuela6@gmail.com 
Zona 3;CLUB SOCIAL PARQUE DEL PLATA ;csilverabrunetto@gmail.com 
Zona 3;MG PATINAJE ARTÍSTICO ;
